fold,scenario,method,seed,best_epoch,trained_epochs,n_test,mae,rmse,median_ae,r2,spearman
3,dft_path,trajectory,7,51,71,348,0.35935921142755567,0.5573709031106059,0.22231348603963852,0.37815362114969153,0.48999678742879543
3,dft_path,trajectory,17,53,73,348,0.3167149169563219,0.4605538430712143,0.22383983433246613,0.5754240943935781,0.6078311223817172
3,dft_path,trajectory,29,29,49,348,0.308183632512716,0.4506508965634314,0.19724178314208984,0.5934864723889349,0.6019250640734148
4,affine_bvse,affine_em_bvse,7,0,0,367,0.3348096439065553,0.5019559959724714,0.22385076051852665,0.6248382694147555,0.6529425073946253
4,affine_bvse,affine_em_bvse,17,0,0,367,0.3348096439065553,0.5019559959724714,0.22385076051852665,0.6248382694147555,0.6529425073946253
4,affine_bvse,affine_em_bvse,29,0,0,367,0.3348096439065553,0.5019559959724714,0.22385076051852665,0.6248382694147555,0.6529425073946253
4,bvse_calibrated_delta,positional,7,72,92,367,0.31480361984875205,0.5225057191333573,0.19570153951644897,0.593491773540374,0.7267154268490448
4,bvse_calibrated_delta,positional,17,28,48,367,0.25485407562332596,0.42083344852447013,0.1687256097793579,0.7363014487255857,0.7476740674420909
4,bvse_calibrated_delta,positional,29,5,25,367,0.2836104706868692,0.45576672885463254,0.1737281084060669,0.6907052996260146,0.755463914422384
4,dft_path,crystal,7,3,23,367,0.4967740694903426,0.7814595811731045,0.33792081475257874,0.09071446473989853,0.3249436389421245
4,dft_path,crystal,17,7,27,367,0.49070409934318115,0.7801391703239597,0.30607396364212036,0.09378465846048623,0.32811359381924016
4,dft_path,crystal,29,27,47,367,0.49535347561146403,0.7627822660100643,0.3307281732559204,0.13365989975595438,0.2813146631375355
4,dft_path,midpoint,7,12,32,367,0.35543764704630304,0.6289657687020466,0.19371819496154785,0.410964782442082,0.6404252953480379
4,dft_path,midpoint,17,5,25,367,0.3597465136319358,0.5937322266665735,0.25204242765903473,0.475109773247103,0.623364005896279
4,dft_path,midpoint,29,4,24,367,0.33372729435329623,0.5622471508765358,0.21804404258728027,0.529302633265669,0.6602635749396486
4,dft_path,positional,7,34,54,367,0.3256955889081557,0.5297410280556729,0.21048656105995178,0.5821557193705703,0.6820689802505725
4,dft_path,positional,17,25,45,367,0.29131240756263604,0.4510409865399132,0.20388385653495789,0.6970860607350038,0.7136352425029276
4,dft_path,positional,29,6,26,367,0.3051334308632916,0.5058409884974328,0.1860954761505127,0.6190085084697701,0.6747503403566899
4,dft_path,trajectory,7,48,68,367,0.3605010822867056,0.5777912087059416,0.2446129024028778,0.5029167820123017,0.6244576627351666
4,dft_path,trajectory,17,35,55,367,0.37656687812407674,0.6335165887882757,0.22678446769714355,0.40241013283064264,0.5801989120238648
4,dft_path,trajectory,29,25,45,367,0.3317737137107052,0.5767990509358489,0.19530841708183289,0.5046224553830901,0.6144268882772432
