outcome,variable,bin,n,variable_mean,mean_improvement,median_improvement,fraction_helped,mean_ci_low,mean_ci_high
delta_pos,bvse_bottleneck_mean_k_distance,"(1.379, 1.845]",55,1.694512140197636,0.209155787833686,0.13688391683758705,0.7272727272727273,0.0975486199161573,0.33014575181192696
delta_pos,bvse_bottleneck_mean_k_distance,"(1.845, 1.932]",55,1.8917787706706675,-0.055174965707725385,-0.0319884216011021,0.3090909090909091,-0.11036363911051077,-0.008185748253157247
delta_pos,bvse_bottleneck_mean_k_distance,"(1.932, 2.007]",55,1.9678837576437196,0.02395320182006012,0.033767807483673085,0.6181818181818182,-0.032248454424380325,0.08432219613229634
delta_pos,bvse_bottleneck_mean_k_distance,"(2.007, 2.434]",55,2.1092488866484946,0.04384841772592742,0.02506621479988097,0.5818181818181818,-0.00293675521090057,0.09171984117095043
delta_pos,bvse_coordination_range,"(-0.001, 3.0]",100,2.29,0.05003598582042702,0.02556465268135069,0.56,0.00021586360344151223,0.1071917158683616
delta_pos,bvse_coordination_range,"(3.0, 4.0]",32,4.0,0.05891167995477317,0.020811523497104634,0.53125,-0.014091902375516526,0.13155414163845333
delta_pos,bvse_coordination_range,"(4.0, 6.0]",42,5.4523809523809526,-0.024246148578258513,-0.018445785337343035,0.42857142857142855,-0.11490739831590736,0.06298642130964716
delta_pos,bvse_coordination_range,"(6.0, 11.0]",46,9.456521739130435,0.13755652590540346,0.04086668491363529,0.6956521739130435,0.04095233020312919,0.248158073256072
delta_bvse,dft_barrier,"(0.0487, 0.389]",55,0.23785980805707513,0.11914216215755313,0.13342758948827907,0.8363636363636363,0.08025518451445628,0.15585541043049433
delta_bvse,dft_barrier,"(0.389, 0.624]",55,0.4970045470831939,0.0422966308048588,0.06768154189174702,0.6909090909090909,0.0007649844667103424,0.08361981831405431
delta_bvse,dft_barrier,"(0.624, 1.046]",55,0.8098357908780803,-0.0002198165894857995,0.008404823131200612,0.5818181818181818,-0.03428752079956539,0.034469564901097864
delta_bvse,dft_barrier,"(1.046, 4.538]",55,2.047445529004462,0.06287437430549239,0.04482152148163232,0.6363636363636364,-0.022842991155520204,0.1451477443234185
delta_bvse,affine_bvse_absolute_error,"(0.00181, 0.102]",55,0.06022981103629655,-0.07282227973098082,-0.04303216250444519,0.4,-0.11609271810454498,-0.039395761473492566
delta_bvse,affine_bvse_absolute_error,"(0.102, 0.199]",55,0.14670629343582497,0.02515377740441016,0.05502860523750264,0.7090909090909091,-0.0008132523420331879,0.05048601954311609
