outcome,feature_set,task,repeat,fold,feature,score_drop
delta_pos,published_litraj,regression,5,0,litraj_min_volume,0.007575383523242163
delta_pos,published_litraj,regression,5,0,litraj_edge_length,-0.020608305456492837
delta_pos,published_litraj,regression,5,0,litraj_max_weighted_mean_oxidation,0.10379576660502798
delta_pos,published_litraj,regression,5,0,litraj_max_volume,0.001444945950535681
delta_pos,published_litraj,regression,5,0,litraj_min_mean_covalent_radius,-0.08520303838414744
delta_pos,published_litraj,regression,5,1,litraj_min_volume,0.22367298781576783
delta_pos,published_litraj,regression,5,1,litraj_edge_length,0.10552112682328973
delta_pos,published_litraj,regression,5,1,litraj_max_weighted_mean_oxidation,-0.10338149123502549
delta_pos,published_litraj,regression,5,1,litraj_max_volume,-0.17224248269494835
delta_pos,published_litraj,regression,5,1,litraj_min_mean_covalent_radius,-0.07771735625094411
delta_pos,published_litraj,regression,5,2,litraj_min_volume,0.16189605026875764
delta_pos,published_litraj,regression,5,2,litraj_edge_length,0.08253643448626158
delta_pos,published_litraj,regression,5,2,litraj_max_weighted_mean_oxidation,0.00811905146288927
delta_pos,published_litraj,regression,5,2,litraj_max_volume,-0.029696680982020718
delta_pos,published_litraj,regression,5,2,litraj_min_mean_covalent_radius,-0.08432144666061836
delta_pos,published_litraj,regression,5,3,litraj_min_volume,-0.3278698581068271
delta_pos,published_litraj,regression,5,3,litraj_edge_length,-0.35438827689057306
delta_pos,published_litraj,regression,5,3,litraj_max_weighted_mean_oxidation,-0.006761179258942818
delta_pos,published_litraj,regression,5,3,litraj_max_volume,0.02787674028457232
delta_pos,published_litraj,regression,5,3,litraj_min_mean_covalent_radius,0.0019773056069065653
delta_pos,published_litraj,regression,5,4,litraj_min_volume,0.0622932951900117
delta_pos,published_litraj,regression,5,4,litraj_edge_length,0.023418837419004523
delta_pos,published_litraj,regression,5,4,litraj_max_weighted_mean_oxidation,-0.03156016255895788
delta_pos,published_litraj,regression,5,4,litraj_max_volume,0.007617293201869879
delta_pos,published_litraj,regression,5,4,litraj_min_mean_covalent_radius,0.036206653121151344
delta_pos,published_litraj,regression,6,0,litraj_min_volume,0.2602602162291545
delta_pos,published_litraj,regression,6,0,litraj_edge_length,0.10104962952674867
delta_pos,published_litraj,regression,6,0,litraj_max_weighted_mean_oxidation,0.0070980093515002896
delta_pos,published_litraj,regression,6,0,litraj_max_volume,-0.10647655150897128
delta_pos,published_litraj,regression,6,0,litraj_min_mean_covalent_radius,-0.014446105739513548
delta_pos,published_litraj,regression,6,1,litraj_min_volume,-0.04173524324796829
delta_pos,published_litraj,regression,6,1,litraj_edge_length,-0.10246098949913618
delta_pos,published_litraj,regression,6,1,litraj_max_weighted_mean_oxidation,0.08581181219259015
delta_pos,published_litraj,regression,6,1,litraj_max_volume,-0.048550142559423914
delta_pos,published_litraj,regression,6,1,litraj_min_mean_covalent_radius,-0.13441842717032193
delta_pos,published_litraj,regression,6,2,litraj_min_volume,-0.4614586814759365
delta_pos,published_litraj,regression,6,2,litraj_edge_length,-0.14339403197612088
delta_pos,published_litraj,regression,6,2,litraj_max_weighted_mean_oxidation,-0.19725067212108316
delta_pos,published_litraj,regression,6,2,litraj_max_volume,-0.1308354119349151
delta_pos,published_litraj,regression,6,2,litraj_min_mean_covalent_radius,-0.10999834576057044
delta_pos,published_litraj,regression,6,3,litraj_min_volume,-0.11987863792091846
delta_pos,published_litraj,regression,6,3,litraj_edge_length,-0.19955515997954976
delta_pos,published_litraj,regression,6,3,litraj_max_weighted_mean_oxidation,-0.027935103304081332
delta_pos,published_litraj,regression,6,3,litraj_max_volume,-0.01243523325063478
delta_pos,published_litraj,regression,6,3,litraj_min_mean_covalent_radius,-0.0022733154855223425
delta_pos,published_litraj,regression,6,4,litraj_min_volume,-0.003636419405122826
delta_pos,published_litraj,regression,6,4,litraj_edge_length,-0.02567740075395708
delta_pos,published_litraj,regression,6,4,litraj_max_weighted_mean_oxidation,-0.06524416724904358
delta_pos,published_litraj,regression,6,4,litraj_max_volume,-0.060431498043482135
delta_pos,published_litraj,regression,6,4,litraj_min_mean_covalent_radius,-0.03542964421784611
delta_pos,published_litraj,regression,7,0,litraj_min_volume,-0.3406682666280558
delta_pos,published_litraj,regression,7,0,litraj_edge_length,-0.061544156122213645
delta_pos,published_litraj,regression,7,0,litraj_max_weighted_mean_oxidation,-0.03576380535118018
delta_pos,published_litraj,regression,7,0,litraj_max_volume,-0.1354346950153278
delta_pos,published_litraj,regression,7,0,litraj_min_mean_covalent_radius,-0.12408747992909253
delta_pos,published_litraj,regression,7,1,litraj_min_volume,0.3955173610247822
delta_pos,published_litraj,regression,7,1,litraj_edge_length,-0.020803860227496696
