outcome,feature_set,task,model,repeat,r2,mae,spearman,roc_auc,balanced_accuracy
delta_bvse,published_litraj,regression,random_forest,8,0.015408482753693997,0.13966649224163727,0.18305024575598108,,
delta_bvse,published_litraj,regression,ridge,8,-0.10590919663586429,0.15133116871550908,-0.04354597859835571,,
delta_bvse,published_litraj,regression,random_forest,9,-0.044625524080393886,0.13986794301526498,0.1610715488181512,,
delta_bvse,published_litraj,regression,ridge,9,-0.07776596538074654,0.14890415506480262,-0.008440069197522864,,
delta_bvse,published_litraj,classification,logistic,0,,,,0.4493713408196564,0.4684230732315961
delta_bvse,published_litraj,classification,random_forest,0,,,,0.5114694308474902,0.4822439773490738
delta_bvse,published_litraj,classification,logistic,1,,,,0.49006622516556286,0.4626163739322392
delta_bvse,published_litraj,classification,random_forest,1,,,,0.524714463960073,0.5230348401957962
delta_bvse,published_litraj,classification,logistic,2,,,,0.5001439677512237,0.5019675592667243
delta_bvse,published_litraj,classification,random_forest,2,,,,0.507918226317305,0.4874268163931279
delta_bvse,published_litraj,classification,logistic,3,,,,0.4488914483155773,0.4506190613302621
delta_bvse,published_litraj,classification,random_forest,3,,,,0.5109895383434111,0.505230828294462
delta_bvse,published_litraj,classification,logistic,4,,,,0.4780689125635858,0.48042038583357327
delta_bvse,published_litraj,classification,random_forest,4,,,,0.5431423361167098,0.5058546885497649
delta_bvse,published_litraj,classification,logistic,5,,,,0.5119493233515692,0.5011517420097897
delta_bvse,published_litraj,classification,random_forest,5,,,,0.5526442076974758,0.5329686150302333
delta_bvse,published_litraj,classification,logistic,6,,,,0.4532104808522891,0.44855552356272194
delta_bvse,published_litraj,classification,random_forest,6,,,,0.484787407620693,0.4729340627699395
delta_bvse,published_litraj,classification,logistic,7,,,,0.49956809674632885,0.49740858047797293
delta_bvse,published_litraj,classification,random_forest,7,,,,0.48267588060274497,0.47024666474709664
delta_bvse,published_litraj,classification,logistic,8,,,,0.49611287071695936,0.4961608599673673
delta_bvse,published_litraj,classification,random_forest,8,,,,0.5455417986371053,0.5184758614070448
delta_bvse,published_litraj,classification,logistic,9,,,,0.513676936366254,0.512093291102793
delta_bvse,published_litraj,classification,random_forest,9,,,,0.575583069392456,0.5501487666762646
delta_bvse,simple_geometry,regression,random_forest,0,-0.0758671297738247,0.15058430300177275,0.06607138630917041,,
delta_bvse,simple_geometry,regression,ridge,0,-0.039734990193083464,0.14760142719561153,0.09823343457509452,,
delta_bvse,simple_geometry,regression,random_forest,1,-0.1928292496912003,0.15813339402526766,-0.04780945640441482,,
delta_bvse,simple_geometry,regression,ridge,1,-0.09605255692194814,0.15063260074372276,-0.042927258076331395,,
delta_bvse,simple_geometry,regression,random_forest,2,-0.175646588648533,0.1587256557074551,-0.10850950170972297,,
delta_bvse,simple_geometry,regression,ridge,2,-0.1408190956458959,0.1546968568722889,-0.08407611727515031,,
delta_bvse,simple_geometry,regression,random_forest,3,-0.12343763051037016,0.15484676099892644,-0.05537335754139161,,
delta_bvse,simple_geometry,regression,ridge,3,-0.07479838732119215,0.1497592792487047,-0.002559406749575968,,
delta_bvse,simple_geometry,regression,random_forest,4,-0.10532920757857878,0.1499686422728094,0.0014910162887618141,,
delta_bvse,simple_geometry,regression,ridge,4,-0.10862650729507228,0.15232844972659557,-0.0034317012560364695,,
delta_bvse,simple_geometry,regression,random_forest,5,-0.08008592895868705,0.14917339740327412,0.05719738773212134,,
delta_bvse,simple_geometry,regression,ridge,5,-0.0428081208222737,0.14729346797634224,0.06211773721846244,,
delta_bvse,simple_geometry,regression,random_forest,6,-0.15217013669561696,0.15483522521612472,-0.03329266746508953,,
delta_bvse,simple_geometry,regression,ridge,6,-0.07824769270368925,0.1498446366578434,0.02616207322089675,,
delta_bvse,simple_geometry,regression,random_forest,7,-0.15143860966360112,0.1569227501557542,-0.016555042176557507,,
delta_bvse,simple_geometry,regression,ridge,7,-0.12322619084033604,0.15607100865746804,-0.01484816553309704,,
delta_bvse,simple_geometry,regression,random_forest,8,-0.11691963777385328,0.1553805954324301,-0.03011734025019466,,
delta_bvse,simple_geometry,regression,ridge,8,-0.15127086895450859,0.15502436135237824,-0.03419417005234894,,
delta_bvse,simple_geometry,regression,random_forest,9,-0.13142799062294075,0.1530509162293071,-0.03629890571347001,,
delta_bvse,simple_geometry,regression,ridge,9,-0.05452928351570607,0.14733945658076786,0.062444565909513534,,
delta_bvse,simple_geometry,classification,logistic,0,,,,0.40819656396967074,0.4203858335732796
delta_bvse,simple_geometry,classification,random_forest,0,,,,0.40349361742969575,0.4503791150782225
delta_bvse,simple_geometry,classification,logistic,1,,,,0.41827430655533154,0.44087724349745655
delta_bvse,simple_geometry,classification,random_forest,1,,,,0.4241289951050965,0.43794989922257416
delta_bvse,simple_geometry,classification,logistic,2,,,,0.3563681735291295,0.4369421249640081
delta_bvse,simple_geometry,classification,random_forest,2,,,,0.35540838852097134,0.41995393031960837
delta_bvse,simple_geometry,classification,logistic,3,,,,0.42777617813609753,0.49635281696899897
delta_bvse,simple_geometry,classification,random_forest,3,,,,0.4060850369517228,0.4578174488914483
delta_bvse,simple_geometry,classification,logistic,4,,,,0.41913811306267396,0.45330645935310493
delta_bvse,simple_geometry,classification,random_forest,4,,,,0.4384297917266532,0.4536903733563682
delta_bvse,simple_geometry,classification,logistic,5,,,,0.4340147806891257,0.44356464152029945
delta_bvse,simple_geometry,classification,random_forest,5,,,,0.4527785775986179,0.4787407620692965
delta_bvse,simple_geometry,classification,logistic,6,,,,0.41069200499088204,0.4203858335732796
delta_bvse,simple_geometry,classification,random_forest,6,,,,0.39931855264420774,0.4325751031768884
delta_bvse,simple_geometry,classification,logistic,7,,,,0.36759765812458006,0.3748440349361743
delta_bvse,simple_geometry,classification,random_forest,7,,,,0.41309146751127745,0.4536903733563682
delta_bvse,simple_geometry,classification,logistic,8,,,,0.4611766964200019,0.4889144831557731
delta_bvse,simple_geometry,classification,random_forest,8,,,,0.4613686534216335,0.47418178328054517
delta_bvse,simple_geometry,classification,logistic,9,,,,0.4647279009501871,0.471110471254439
delta_bvse,simple_geometry,classification,random_forest,9,,,,0.49668874172185434,0.4934254726941165
delta_bvse,trajectory_profiles,regression,random_forest,0,-0.06013509623984348,0.1458490189608328,0.046742137797738115,,
delta_bvse,trajectory_profiles,regression,ridge,0,-0.1601347748411177,0.15695290767509976,-0.01240145833215938,,
delta_bvse,trajectory_profiles,regression,random_forest,1,-0.19586362840258098,0.15263986532855092,-0.009700050151299143,,
delta_bvse,trajectory_profiles,regression,ridge,1,-0.3189465119208974,0.16583935659590607,-0.17442283743653608,,
