outcome,feature_set,task,model,permutation,score
delta_pos,published_litraj,regression,ridge,161,-0.06434985772019837
delta_pos,published_litraj,regression,random_forest,162,-0.10576833392635591
delta_pos,published_litraj,regression,ridge,162,-0.058420116145897726
delta_pos,published_litraj,regression,random_forest,163,-0.03774234310751614
delta_pos,published_litraj,regression,ridge,163,-0.07270325866431884
delta_pos,published_litraj,regression,random_forest,164,-0.02707711890288722
delta_pos,published_litraj,regression,ridge,164,-0.052961121909248024
delta_pos,published_litraj,regression,random_forest,165,-0.08216523042819202
delta_pos,published_litraj,regression,ridge,165,-0.036075563654287233
delta_pos,published_litraj,regression,random_forest,166,-0.035908382654298875
delta_pos,published_litraj,regression,ridge,166,-0.05224021048683418
delta_pos,published_litraj,regression,random_forest,167,-0.049175523323991596
delta_pos,published_litraj,regression,ridge,167,-0.062294075609204545
delta_pos,published_litraj,regression,random_forest,168,-0.06068972424750481
delta_pos,published_litraj,regression,ridge,168,-0.051922507772649305
delta_pos,published_litraj,regression,random_forest,169,-0.09041719976551003
delta_pos,published_litraj,regression,ridge,169,-0.08172628656814016
delta_pos,published_litraj,regression,random_forest,170,-0.07011690120991791
delta_pos,published_litraj,regression,ridge,170,-0.013076547046200393
delta_pos,published_litraj,regression,random_forest,171,-0.0804767116261711
delta_pos,published_litraj,regression,ridge,171,-0.055831753833491794
delta_pos,published_litraj,regression,random_forest,172,-0.08043179631206787
delta_pos,published_litraj,regression,ridge,172,-0.06579204103562779
delta_pos,published_litraj,regression,random_forest,173,-0.033435810731523866
delta_pos,published_litraj,regression,ridge,173,-0.04619890210655937
delta_pos,published_litraj,regression,random_forest,174,-0.08924196685537336
delta_pos,published_litraj,regression,ridge,174,-0.05887191146041502
delta_pos,published_litraj,regression,random_forest,175,-0.07902872437745063
delta_pos,published_litraj,regression,ridge,175,-0.07310976430900848
delta_pos,published_litraj,regression,random_forest,176,-0.06268826587091711
delta_pos,published_litraj,regression,ridge,176,-0.013707370844514389
delta_pos,published_litraj,regression,random_forest,177,-0.055044460784631676
delta_pos,published_litraj,regression,ridge,177,-0.03288019516890402
delta_pos,published_litraj,regression,random_forest,178,-0.05819336309515062
delta_pos,published_litraj,regression,ridge,178,-0.031106976435715816
delta_pos,published_litraj,regression,random_forest,179,-0.03860458957308581
delta_pos,published_litraj,regression,ridge,179,-0.02551151657650308
delta_pos,published_litraj,regression,random_forest,180,-0.007017619620450277
delta_pos,published_litraj,regression,ridge,180,-0.058134456912279676
delta_pos,published_litraj,regression,random_forest,181,-0.09420767199966236
delta_pos,published_litraj,regression,ridge,181,-0.06230447173282403
delta_pos,published_litraj,regression,random_forest,182,-0.07713278495537683
delta_pos,published_litraj,regression,ridge,182,-0.021916589823129384
delta_pos,published_litraj,regression,random_forest,183,-0.06974882264348145
delta_pos,published_litraj,regression,ridge,183,-0.050112191051064084
delta_pos,published_litraj,regression,random_forest,184,-0.056813779955204
delta_pos,published_litraj,regression,ridge,184,-0.015993359185708978
delta_pos,published_litraj,regression,random_forest,185,-0.06736600175521328
delta_pos,published_litraj,regression,ridge,185,-0.052882037433118166
delta_pos,published_litraj,regression,random_forest,186,0.004032136314110935
delta_pos,published_litraj,regression,ridge,186,0.028439932729749873
delta_pos,published_litraj,regression,random_forest,187,-0.07151091314692737
delta_pos,published_litraj,regression,ridge,187,-0.040035170551618274
delta_pos,published_litraj,regression,random_forest,188,-0.049397710267428854
delta_pos,published_litraj,regression,ridge,188,-0.019385281114588128
delta_pos,published_litraj,regression,random_forest,189,-0.08049246646811996
delta_pos,published_litraj,regression,ridge,189,-0.058034627728163056
delta_pos,published_litraj,regression,random_forest,190,-0.05543100759283433
delta_pos,published_litraj,regression,ridge,190,-0.05844203141672357
delta_pos,published_litraj,regression,random_forest,191,-0.1132081702362477
delta_pos,published_litraj,regression,ridge,191,-0.04117884697400409
delta_pos,published_litraj,regression,random_forest,192,-0.07320258056831337
delta_pos,published_litraj,regression,ridge,192,-0.05168511237849516
delta_pos,published_litraj,regression,random_forest,193,-0.07562437546419562
delta_pos,published_litraj,regression,ridge,193,-0.03579799487790529
delta_pos,published_litraj,regression,random_forest,194,-0.07580853564384844
delta_pos,published_litraj,regression,ridge,194,-0.08922392893355921
delta_pos,published_litraj,regression,random_forest,195,-0.06772436050557144
delta_pos,published_litraj,regression,ridge,195,-0.039742706742594815
delta_pos,published_litraj,regression,random_forest,196,-0.07799199687181901
delta_pos,published_litraj,regression,ridge,196,-0.08769120818872807
delta_pos,published_litraj,regression,random_forest,197,-0.10423725130719848
delta_pos,published_litraj,regression,ridge,197,-0.06391807087164776
delta_pos,published_litraj,regression,random_forest,198,-0.07020125626810632
delta_pos,published_litraj,regression,ridge,198,-0.07358460099956557
delta_pos,published_litraj,regression,random_forest,199,-0.05937475188882117
delta_pos,published_litraj,regression,ridge,199,-0.03135950787011306
delta_pos,published_litraj,regression,random_forest,200,-0.08228951404689863
delta_pos,published_litraj,regression,ridge,200,-0.047417970223417136
delta_pos,published_litraj,regression,random_forest,201,-0.10432006372028772
delta_pos,published_litraj,regression,ridge,201,-0.056518782767551776
delta_pos,published_litraj,regression,random_forest,202,-0.06321329808648057
delta_pos,published_litraj,regression,ridge,202,-0.03866082571987968
delta_pos,published_litraj,regression,random_forest,203,-0.038772929855033375
delta_pos,published_litraj,regression,ridge,203,-0.036535832676726374
delta_pos,published_litraj,regression,random_forest,204,-0.10790203159665332
delta_pos,published_litraj,regression,ridge,204,-0.04077173611728271
delta_pos,published_litraj,regression,random_forest,205,-0.09903346630818666
delta_pos,published_litraj,regression,ridge,205,-0.03953661480721289
delta_pos,published_litraj,regression,random_forest,206,-0.024951289659929998
delta_pos,published_litraj,regression,ridge,206,-0.06872234894273137
delta_pos,published_litraj,regression,random_forest,207,-0.03468618432468469
delta_pos,published_litraj,regression,ridge,207,-0.008412770508940782
delta_pos,published_litraj,regression,random_forest,208,-0.07849251579025843
delta_pos,published_litraj,regression,ridge,208,-0.08845869215331006
delta_pos,published_litraj,regression,random_forest,209,-0.03682347779045991
delta_pos,published_litraj,regression,ridge,209,-0.029277778343449957
delta_pos,published_litraj,regression,random_forest,210,-0.06611408117082981
delta_pos,published_litraj,regression,ridge,210,-0.04166720505513355
delta_pos,published_litraj,regression,random_forest,211,-0.062279781852140094
delta_pos,published_litraj,regression,ridge,211,-0.11428766325595847
