outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
positional_benefit,89,220,23;41;93;201;803,35;59;71;87;155,0.8686575423005708,0.7135504302305269
positional_benefit,90,220,23;41;155;201;803,35;59;71;87;93,0.8549055031990053,0.7183672089393282
positional_benefit,91,220,23;59;71;87;93,35;41;155;201;803,0.8586839037224736,0.7033725339930014
positional_benefit,92,220,23;59;71;87;155,35;41;93;201;803,0.871083784939986,0.6679893837025183
positional_benefit,93,220,23;59;71;87;201,35;41;93;155;803,0.7996871073920182,0.6657849805311529
positional_benefit,94,220,23;59;71;87;803,35;41;93;155;201,0.8327550838458828,0.7118723339513024
positional_benefit,95,220,23;59;71;93;155,35;41;87;201;803,0.8320937147525448,0.6509706248626475
positional_benefit,96,220,23;59;71;93;201,35;41;87;155;803,0.8721647168541667,0.6883834940241065
positional_benefit,97,220,23;59;71;93;803,35;41;87;155;201,0.8688629168232276,0.7193702349222091
positional_benefit,98,220,23;59;71;155;201,35;41;87;93;803,0.8312282801227782,0.6889965795686988
positional_benefit,99,220,23;59;71;155;803,35;41;87;93;201,0.8490348993545053,0.6801981258065062
positional_benefit,100,220,23;59;71;201;803,35;41;87;93;155,0.841862095746093,0.7030648642252187
positional_benefit,101,220,23;59;87;93;155,35;41;71;201;803,0.8699816904539971,0.7176515668054749
positional_benefit,102,220,23;59;87;93;201,35;41;71;155;803,0.8418783124670233,0.7346849765866688
positional_benefit,103,220,23;59;87;93;803,35;41;71;155;201,0.8534864224565836,0.8085336098228926
positional_benefit,104,220,23;59;87;155;201,35;41;71;93;803,0.8720887481609749,0.7507649481863825
positional_benefit,105,220,23;59;87;155;803,35;41;71;93;201,0.9068179651881758,0.7592636211491973
positional_benefit,106,220,23;59;87;201;803,35;41;71;93;155,0.8299324408758167,0.7551591035877901
positional_benefit,107,220,23;59;93;155;201,35;41;71;87;803,0.843597931231129,0.7090807661315316
positional_benefit,108,220,23;59;93;155;803,35;41;71;87;201,0.8389840825754379,0.689944382772747
positional_benefit,109,220,23;59;93;201;803,35;41;71;87;155,0.877220650529329,0.7280683860861137
positional_benefit,110,220,23;59;155;201;803,35;41;71;87;93,0.8756136724501341,0.7624947172086576
positional_benefit,111,220,23;71;87;93;155,35;41;59;201;803,0.8648854638132639,0.7119061438158941
positional_benefit,112,220,23;71;87;93;201,35;41;59;155;803,0.8736506600201183,0.7256126629212849
positional_benefit,113,220,23;71;87;93;803,35;41;59;155;201,0.8677388351400634,0.7779593492728062
positional_benefit,114,220,23;71;87;155;201,35;41;59;93;803,0.8781894771458197,0.7185024483976942
positional_benefit,115,220,23;71;87;155;803,35;41;59;93;201,0.8943652688385281,0.7341812096042555
positional_benefit,116,220,23;71;87;201;803,35;41;59;93;155,0.8547072225304851,0.7308283980322658
positional_benefit,117,220,23;71;93;155;201,35;41;59;87;803,0.8160872342038252,0.6817860624468198
positional_benefit,118,220,23;71;93;155;803,35;41;59;87;201,0.7949332058455207,0.6617311777666329
positional_benefit,119,220,23;71;93;201;803,35;41;59;87;155,0.8675293504575424,0.7112795343254649
positional_benefit,120,220,23;71;155;201;803,35;41;59;87;93,0.8400446450327316,0.6943013473231039
positional_benefit,121,220,23;87;93;155;201,35;41;59;71;803,0.8335667620906974,0.715722150532787
positional_benefit,122,220,23;87;93;155;803,35;41;59;71;201,0.8267390168110585,0.7090830201225043
