family,outcome,feature,n,spearman_rho,p_value,bootstrap_ci_low,bootstrap_ci_high,fdr_p_value
exploratory_profile,delta_pos,bvse_profile_effective_cn_s_min,220,-0.08685541616846265,0.1993653839999959,-0.2149882942915276,0.03988333305019412,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_effective_cn_s_max,220,-0.03332236388177862,0.6230223180263516,-0.16629456551488025,0.10676408699594844,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_effective_cn_asymmetry,220,0.053276457627787197,0.4317066770277839,-0.0782738892891618,0.1867205335575168,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_mean_rc_min,220,0.09496983192874654,0.1603842222049855,-0.04212336865149144,0.23027916782068977,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_mean_rc_max,220,0.0737768128143803,0.2759164282654693,-0.06422053948479138,0.2153050551339358,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_mean_rc_s_min,220,0.11097917350853008,0.10063451396291125,-0.02974539150803935,0.24487490453881477,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_mean_rc_s_max,220,0.03446347911224466,0.6111623056230499,-0.09944382272416223,0.16087927998232548,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_mean_rc_asymmetry,220,0.03859453480289982,0.569084326169275,-0.09622300529323007,0.17024802164899794,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_weighted_mean_oxi_min,220,-0.04161511805843038,0.5392142042572093,-0.1798309660997934,0.104024357278447,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_weighted_mean_oxi_max,220,0.058481502758747174,0.3880173517976412,-0.089805095872183,0.20377624740243735,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_weighted_mean_oxi_range,220,0.038129085535883796,0.5737559323330846,-0.11316505602034846,0.1894202656960797,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_weighted_mean_oxi_s_min,220,-0.03200399293231219,0.6368463601847005,-0.16519590083657773,0.10288528384964041,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_weighted_mean_oxi_s_max,220,0.07687506649442742,0.25619648568063996,-0.05405346468128196,0.20659269633535154,0.8603364518813044
exploratory_profile,delta_pos,bvse_profile_weighted_mean_oxi_asymmetry,220,0.06328588587082794,0.3501641832221533,-0.07463160725680157,0.18786293469831472,0.8603364518813044
exploratory_profile,delta_pos,dft_profile_volume_max,220,-0.019990645937463022,0.7681088256106564,-0.15424477123266034,0.11855102569664977,0.9199876649394557
exploratory_profile,delta_pos,dft_profile_mean_rc_s_min,220,0.018424033579862647,0.7858227971357851,-0.1199382578601622,0.15644687460216208,0.9199876649394557
exploratory_profile,delta_pos,dft_profile_weighted_mean_oxi_s_min,200,-0.023495482402580325,0.7412192498723387,-0.16282218350082758,0.11917222482931333,0.9199876649394557
exploratory_profile,delta_pos,bvse_profile_volume_s_max,220,-0.02068762260038414,0.7602658733181634,-0.1532793022991924,0.10873857787646442,0.9199876649394557
exploratory_profile,delta_pos,bvse_profile_mean_rc_range,220,-0.0224070505238481,0.7410233548196644,-0.1608695026423755,0.11495208748432417,0.9199876649394557
exploratory_profile,delta_pos,dft_profile_effective_cn_range,220,-0.013786535784924182,0.8388754465883032,-0.15297694506059978,0.1253285979652802,0.9249700340133472
exploratory_profile,delta_pos,bvse_profile_effective_cn_max,220,0.013005527912860708,0.8478891978455683,-0.1252003563561293,0.14873471508317132,0.9249700340133472
exploratory_profile,delta_pos,bvse_profile_effective_cn_range,220,0.014364684469438699,0.8322163560037368,-0.12077429267094271,0.14740115830376133,0.9249700340133472
exploratory_profile,delta_pos,dft_profile_volume_s_min,220,-0.007665992235570872,0.9099838163418433,-0.13136371543921865,0.11295934709204176,0.9699824027941177
exploratory_profile,delta_pos,bvse_profile_effective_cn_min,220,0.005993361996585202,0.9295664693443628,-0.12233165169945295,0.13729889709783658,0.9699824027941177
exploratory_profile,delta_pos,dft_profile_volume_min,220,-0.0017389540354890878,0.9795397426372687,-0.13678407184368518,0.13476105616134162,0.9860496145888703
exploratory_profile,delta_pos,dft_profile_effective_cn_max,220,0.001185599251674997,0.9860496145888702,-0.12556883547763856,0.13424092759429487,0.9860496145888703
